"selection1_batsmen_name","selection1_batsmen_Out_NotOut","selection1_batsmen_Runs","selection1_batsmen_Balls","selection1_batsmen_Fours","selection1_batsmen_Sixes","selection1_batsmen_Strike_Rate","selection1_batsmen_Team","selection1_batsmen_Match_No"
"Devon Conway","b Mohammed Shami","1","6","0","0","16.66","Chennai Super Kings","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Ruturaj Gaikwad","c Shubman Gill b Joseph","92","50","4","9","184.00","Chennai Super Kings","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Moeen Ali","c †Saha b Rashid Khan","23","17","4","1","135.29","Chennai Super Kings","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Ben Stokes","c †Saha b Rashid Khan","7","6","1","0","116.66","Chennai Super Kings","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Ambati Rayudu","b Little","12","12","0","1","100.00","Chennai Super Kings","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Shivam Dube","c Rashid Khan b Mohammed Shami","19","18","0","1","105.55","Chennai Super Kings","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Ravindra Jadeja","c Shankar b Joseph","1","2","0","0","50.00","Chennai Super Kings","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"MS Dhoni (c)†","not out","14","7","1","1","200.00","Chennai Super Kings","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Mitchell Santner","not out","1","3","0","0","33.33","Chennai Super Kings","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Deepak Chahar,","","Did not bat:","","","","","",""
"Rajvardhan Hangargekar","","Did not bat:","","","","","",""
"Wriddhiman Saha †","c Dube b Hangargekar","25","16","2","2","156.25","Gujarat Titans","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Shubman Gill","c Gaikwad b Deshpande","63","36","6","3","175.00","Gujarat Titans","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Sai Sudharsan","c †Dhoni b Hangargekar","22","17","3","0","129.41","Gujarat Titans","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Hardik Pandya (c)","b Jadeja","8","11","0","0","72.72","Gujarat Titans","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Vijay Shankar","c Santner b Hangargekar","27","21","2","1","128.57","Gujarat Titans","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Rahul Tewatia","not out","15","14","1","1","107.14","Gujarat Titans","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Rashid Khan","not out","10","3","1","1","333.33","Gujarat Titans","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League"
"Mohammed Shami,","","Did not bat:","","","","","",""
"Josh Little,","","Did not bat:","","","","","",""
"Yash Dayal,","","Did not bat:","","","","","",""
"Alzarri Joseph","","Did not bat:","","","","","",""
"Prabhsimran Singh","c †Rahmanullah Gurbaz b Southee","23","12","2","2","191.66","Punjab Kings","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Shikhar Dhawan (c)","b Varun","40","29","6","0","137.93","Punjab Kings","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Bhanuka Rajapaksa","c Singh b Yadav","50","32","5","2","156.25","Punjab Kings","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Jitesh Sharma †","c Yadav b Southee","21","11","1","2","190.90","Punjab Kings","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Sikandar Raza","c Rana b Narine","16","13","1","1","123.07","Punjab Kings","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Sam Curran","not out","26","17","0","2","152.94","Punjab Kings","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"M Shahrukh Khan","not out","11","7","2","0","157.14","Punjab Kings","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Harpreet Brar,","","Did not bat:","","","","","",""
"Rahul Chahar,","","Did not bat:","","","","","",""
"Arshdeep Singh,","","Did not bat:","","","","","",""
"Nathan Ellis","","Did not bat:","","","","","",""
"Mandeep Singh","c Curran b Arshdeep Singh","2","4","0","0","50.00","Kolkata Knight Riders","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Rahmanullah Gurbaz †","b Ellis","22","16","3","1","137.50","Kolkata Knight Riders","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Anukul Roy","c Sikandar Raza b Arshdeep Singh","4","5","1","0","80.00","Kolkata Knight Riders","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Venkatesh Iyer","c Chahar b Arshdeep Singh","34","28","3","1","121.42","Kolkata Knight Riders","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Nitish Rana (c)","c Chahar b Sikandar Raza","24","17","3","1","141.17","Kolkata Knight Riders","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Rinku Singh","c Sikandar Raza b Chahar","4","4","0","0","100.00","Kolkata Knight Riders","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Andre Russell","c Sikandar Raza b Curran","35","19","3","2","184.21","Kolkata Knight Riders","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Shardul Thakur","not out","8","3","0","1","266.66","Kolkata Knight Riders","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Sunil Narine","not out","7","2","0","1","350.00","Kolkata Knight Riders","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League"
"Tim Southee,","","Did not bat:","","","","","",""
"Umesh Yadav","","Did not bat:","","","","","",""
"KL Rahul (c)","c Patel b Sakariya","8","12","0","1","66.66","Lucknow Super Giants","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Kyle Mayers","b Patel","73","38","2","7","192.10","Lucknow Super Giants","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Deepak Hooda","c Warner b Kuldeep Yadav","17","18","0","0","94.44","Lucknow Super Giants","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Krunal Pandya","not out","15","13","0","1","115.38","Lucknow Super Giants","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Marcus Stoinis","c †Khan b Ahmed","12","10","0","1","120.00","Lucknow Super Giants","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Nicholas Pooran †","c Shaw b Ahmed","36","21","2","3","171.42","Lucknow Super Giants","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Ayush Badoni","c †Khan b Sakariya","18","7","1","2","257.14","Lucknow Super Giants","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Krishnappa Gowtham","not out","6","1","0","1","600.00","Lucknow Super Giants","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Avesh Khan,","","Did not bat:","","","","","",""
"Ravi Bishnoi,","","Did not bat:","","","","","",""
"Jaydev Unadkat,","","Did not bat:","","","","","",""
"Mark Wood","","Did not bat:","","","","","",""
"Prithvi Shaw","b Wood","12","9","2","0","133.33","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"David Warner (c)","c Gowtham b Avesh Khan","56","48","7","0","116.66","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Mitchell Marsh","b Wood","0","1","0","0","0.00","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Sarfaraz Khan †","c Gowtham b Wood","4","9","1","0","44.44","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Rilee Rossouw","c Mayers b Ravi Bishnoi","30","20","3","1","150.00","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Rovman Powell","lbw b Ravi Bishnoi","1","3","0","0","33.33","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Aman Hakim Khan","c †Pooran b Avesh Khan","4","5","0","0","80.00","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Axar Patel","c sub (PN Mankad) b Wood","16","11","1","1","145.45","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Kuldeep Yadav","not out","6","10","0","0","60.00","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Chetan Sakariya","c Pandya b Wood","4","4","1","0","100.00","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Mukesh Kumar","not out","0","1","0","0","0.00","Delhi Capitals","3rd Match (N), Lucknow, April 01, 2023,
Indian Premier League"
"Yashasvi Jaiswal","c Agarwal b Fazalhaq Farooqi","54","37","9","0","145.94","Rajasthan Royals","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Jos Buttler","b Fazalhaq Farooqi","54","22","7","3","245.45","Rajasthan Royals","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Sanju Samson (c)†","c Abhishek Sharma b Natarajan","55","32","3","4","171.87","Rajasthan Royals","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Devdutt Padikkal","b Umran Malik","2","5","0","0","40.00","Rajasthan Royals","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Riyan Parag","c Fazalhaq Farooqi b Natarajan","7","6","1","0","116.66","Rajasthan Royals","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Shimron Hetmyer","not out","22","16","1","1","137.50","Rajasthan Royals","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Ravichandran Ashwin","not out","1","2","0","0","50.00","Rajasthan Royals","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Jason Holder,","","Did not bat:","","","","","",""
"Trent Boult,","","Did not bat:","","","","","",""
"KM Asif,","","Did not bat:","","","","","",""
"Yuzvendra Chahal","","Did not bat:","","","","","",""
"Abhishek Sharma","b Boult","0","3","0","0","0.00","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Mayank Agarwal","c Buttler b Chahal","27","23","3","0","117.39","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Rahul Tripathi","c Holder b Boult","0","2","0","0","0.00","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Harry Brook","b Chahal","13","21","1","0","61.90","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Washington Sundar","c Hetmyer b Holder","1","5","0","0","20.00","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Glenn Phillips †","c Asif b Ashwin","8","6","0","1","133.33","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Abdul Samad","not out","32","32","2","1","100.00","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Adil Rashid","st †Samson b Chahal","18","13","1","1","138.46","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"Bhuvneshwar Kumar (c)","b Chahal","6","10","0","0","60.00","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
